"id","symbol","signal","work","work_spot","created_at","updated_at","deleted_at"
"371","XRPUSDT","sell","1","1","2025-07-26 13:41:01","2025-09-04 16:41:45",""
"375","XRPUSDT","buy","1","1","2025-07-26 14:02:02","2025-09-04 16:41:45",""
"376","XRPUSDT","buy","1","1","2025-07-26 14:05:01","2025-09-04 16:41:45",""
"384","XRPUSDT","sell","1","1","2025-07-26 14:23:01","2025-09-04 16:41:45",""
"386","XRPUSDT","sell","1","1","2025-07-26 14:40:01","2025-09-04 16:41:45",""
"390","XRPUSDT","sell","1","1","2025-07-26 14:53:00","2025-09-04 16:41:45",""
"391","XRPUSDT","sell","1","1","2025-07-26 14:55:02","2025-09-04 16:41:45",""
"407","XRPUSDT","buy","1","1","2025-07-26 15:48:01","2025-09-04 16:41:45",""
"408","XRPUSDT","buy","1","1","2025-07-26 15:49:02","2025-09-04 16:41:45",""
"412","XRPUSDT","buy","1","1","2025-07-26 15:53:02","2025-09-04 16:41:45",""
"413","XRPUSDT","buy","1","1","2025-07-26 15:54:03","2025-09-04 16:41:45",""
"416","XRPUSDT","sell","1","1","2025-07-26 16:07:01","2025-09-04 16:41:45",""
"418","XRPUSDT","sell","1","1","2025-07-26 16:15:00","2025-09-04 16:41:45",""
"420","XRPUSDT","sell","1","1","2025-07-26 16:17:08","2025-09-04 16:41:45",""
"423","XRPUSDT","buy","1","1","2025-07-26 16:36:01","2025-09-04 16:41:45",""
"426","XRPUSDT","sell","1","1","2025-07-26 17:02:01","2025-09-04 16:41:45",""
"431","XRPUSDT","sell","1","1","2025-07-26 17:19:00","2025-09-04 16:41:45",""
"435","XRPUSDT","sell","1","1","2025-07-26 17:47:00","2025-09-04 16:41:45",""
"437","XRPUSDT","sell","1","1","2025-07-26 17:48:01","2025-09-04 16:41:45",""
"439","XRPUSDT","sell","1","1","2025-07-26 17:50:03","2025-09-04 16:41:45",""
"444","XRPUSDT","sell","1","1","2025-07-26 18:14:03","2025-09-04 16:41:45",""
"452","XRPUSDT","sell","1","1","2025-07-26 18:41:00","2025-09-04 16:41:45",""
"456","XRPUSDT","sell","1","1","2025-07-26 18:48:00","2025-09-04 16:41:45",""
"457","XRPUSDT","sell","1","1","2025-07-26 18:53:01","2025-09-04 16:41:45",""
"458","XRPUSDT","sell","1","1","2025-07-26 18:56:10","2025-09-04 16:41:45",""
"468","XRPUSDT","sell","1","1","2025-07-26 19:38:00","2025-09-04 16:41:45",""
"469","XRPUSDT","sell","1","1","2025-07-26 19:39:02","2025-09-04 16:41:45",""
"478","XRPUSDT","buy","1","1","2025-07-26 20:22:01","2025-09-04 16:41:45",""
